"id","speakerKey","speaker","text","filename"
"0.0.1","Sanjaya","Sanjaya","Two branches of one family have come to Kurukshetra prepared for war.","en/0.0.1.mp3"
"0.0.2","Sanjaya","Sanjaya","Arjun stands with the Pandavas, his four brothers. Their cousins stand across the field. Years of rivalry, a lost kingdom, exile and failed efforts at peace have brought them here.","en/0.0.2.mp3"
"0.0.3","Sanjaya","Sanjaya","Krishna, who sought peace between them, now guides Arjun's chariot.","en/0.0.3.mp3"
"0.0.4","Dhritarashtra","Dhritarashtra","Sanjaya, what happened when my sons and the sons of Pandu assembled at Kurukshetra, ready to fight?","en/0.0.4.mp3"
"1.1.1","Sanjaya","Sanjaya","The commanders studied their opponents. Conches answered across the field. Then Arjun spoke.","en/1.1.1.mp3"
"1.1.2","Arjun","Arjun","Take the chariot between the armies, Krishna. Let me see those who have come to fight us.","en/1.1.2.mp3"
"1.1.3","Krishna","Krishna","Look, Arjun. Here are the Kurus assembled.","en/1.1.3.mp3"
"1.1.4","Sanjaya","Sanjaya","There stood Bhishma, an elder of his family. Beside him was Drona, his teacher. Around them, Arjun recognised relatives, friends and men he had known for years.","en/1.1.4.mp3"
"1.2.1","Arjun","Arjun","These are my own people.","en/1.2.1.mp3"
"1.2.2","Arjun","Arjun","My strength is leaving me. My mouth is dry. I cannot keep my hand steady on the bow.","en/1.2.2.mp3"
"1.2.3","Arjun","Arjun","I came here ready to fight. Now I see who stands before me, and I cannot see any good in killing them.","en/1.2.3.mp3"
"1.3.1","Arjun","Arjun","What would I do with a kingdom won like this? The people for whom we might want it are standing there, risking their lives.","en/1.3.1.mp3"
"1.3.2","Arjun","Arjun","They may be blinded by greed. Must we follow them into the same wrong?","en/1.3.2.mp3"
"1.3.3","Arjun","Arjun","When families are destroyed, what happens to those left behind? Who will sustain their lives, their customs, their remembrance of the dead?","en/1.3.3.mp3"
"1.3.4","Sanjaya","Sanjaya","He feared the deaths before him, and the unravelling that might follow them.","en/1.3.4.mp3"
"1.4.1","Arjun","Arjun","If they strike me while I am unarmed and do not resist, that seems better than this.","en/1.4.1.mp3"
"1.4.2","Sanjaya","Sanjaya","Overcome with grief, Arjun set aside his bow and arrows and sat down.","en/1.4.2.mp3"
"2.1.1","Krishna","Krishna","Arjun, this collapse does not become you. Stand up and meet what is before you.","en/2.1.1.mp3"
"2.1.2","Arjun","Arjun","How can I raise a weapon against Bhishma and Drona? They deserve my respect. I do not know whether winning or losing would be worse.","en/2.1.2.mp3"
"2.1.3","Arjun","Arjun","I can no longer tell what my duty asks of me. Tell me what is truly good. I am asking to learn from you.","en/2.1.3.mp3"
"2.1.4","Sanjaya","Sanjaya","He said he would not fight. Then he fell silent between the armies.","en/2.1.4.mp3"
"2.2.1","Krishna","Krishna","You speak with concern, yet your grief has not seen the whole truth. You, I, and these rulers have not simply come out of nothing, nor will we cease altogether.","en/2.2.1.mp3"
"2.2.2","Krishna","Krishna","The embodied self passes through childhood, youth and age, and passes onward when a body dies. The self is not born with the body and is not destroyed with it.","en/2.2.2.mp3"
"2.2.3","Krishna","Krishna","Pleasure and pain arrive and pass. Learn to endure their changes without losing sight of what endures.","en/2.2.3.mp3"
"2.3.1","Krishna","Krishna","Consider also the responsibility before you as a warrior. In this struggle, withdrawal does not by itself make you free of duty.","en/2.3.1.mp3"
"2.3.2","Krishna","Krishna","Give yourself to the action that is yours. Do not make its reward the reason for everything you do. And do not cling to doing nothing.","en/2.3.2.mp3"
"2.3.3","Krishna","Krishna","Practise steadiness in success and failure. Let understanding guide the work, rather than the demand that its outcome belong to you.","en/2.3.3.mp3"
"2.4.1","Arjun","Arjun","How does someone with that steadiness live? How would I recognise it?","en/2.4.1.mp3"
"2.4.2","Krishna","Krishna","Such a person is less driven by craving, less shaken by suffering, less carried away by pleasure. The senses can be gathered back, as a tortoise draws in its limbs.","en/2.4.2.mp3"
"2.4.3","Krishna","Krishna","Dwelling on an object can become attachment; frustrated desire can become anger, and anger can cloud discernment. Learn to see that movement before it carries you away.","en/2.4.3.mp3"
"2.4.4","Krishna","Krishna","Waters enter the ocean, yet it remains full and steady. Peace belongs to one who can receive experience without being ruled by every desire it brings.","en/2.4.4.mp3"
"3.1.1","Arjun","Arjun","If understanding is so important, why direct me toward this terrible action? Your words seem to lead in different directions. Show me a clear way.","en/3.1.1.mp3"
"3.1.2","Krishna","Krishna","Both the discipline of knowledge and the discipline of action have their place. But freedom does not come simply from leaving work undone.","en/3.1.2.mp3"
"3.1.3","Krishna","Krishna","No one remains entirely without action. Restraining the body while the mind clings to its desires is not freedom. Begin with the work before you, and change how you undertake it.","en/3.1.3.mp3"
"3.2.1","Krishna","Krishna","Life is sustained through giving and receiving. Beings depend on food, food on rain, and the order of offering joins human action to a world larger than the individual.","en/3.2.1.mp3"
"3.2.2","Krishna","Krishna","One who takes everything for themselves forgets that dependence. Do necessary work without holding it only for your own gain.","en/3.2.2.mp3"
"3.3.1","Krishna","Krishna","What a respected person does becomes an example. Action can help sustain the world.","en/3.3.1.mp3"
"3.3.2","Krishna","Krishna","There is nothing I need to gain, yet I continue to act. If I abandoned action, others would follow, and the order supporting their lives would suffer.","en/3.3.2.mp3"
"3.3.3","Krishna","Krishna","Offer your work to me. Let go of possessiveness and the fever of expectation. Attend to your own responsibility, even when another person's path looks easier.","en/3.3.3.mp3"
"3.4.1","Arjun","Arjun","What makes a person do wrong even when they do not want to—as though something forces them?","en/3.4.1.mp3"
"3.4.2","Krishna","Krishna","Desire, and the anger that grows from it. Like smoke covering fire, it can obscure knowledge.","en/3.4.2.mp3"
"3.4.3","Krishna","Krishna","Begin with the senses. Strengthen discernment. Recognise that you are not exhausted by the impulses moving through you, and learn to meet this force without surrendering to it.","en/3.4.3.mp3"
"4.1.1","Krishna","Krishna","This yoga has been taught before, handed onward through generations. As it became obscured, I am teaching it to you again, because you are my devotee and friend.","en/4.1.1.mp3"
"4.1.2","Arjun","Arjun","You speak of teaching in an age long before your birth. How am I to understand that?","en/4.1.2.mp3"
"4.1.3","Krishna","Krishna","You and I have passed through many births. I know them; you do not. Though unborn and imperishable, I manifest through my own power. When dharma declines, I appear to protect the good, overcome wrongdoing and restore it.","en/4.1.3.mp3"
"4.2.1","Krishna","Krishna","Action is subtle. A motionless body can conceal a mind full of grasping. Work can be undertaken without the claim that everything is mine.","en/4.2.1.mp3"
