"id","speakerKey","speaker","text","filename"
"0.0.1","Sanjaya","Sanjaya","Deux branches d’une même famille sont venues à Kurukshetra, prêtes à faire la guerre.","fr/0.0.1.mp3"
"0.0.2","Sanjaya","Sanjaya","Arjuna se tient aux côtés des Pandavas, ses quatre frères. Leurs cousins leur font face, de l’autre côté du champ de bataille. Des années de rivalité, un royaume perdu, l’exil et des tentatives de paix infructueuses les ont conduits ici.","fr/0.0.2.mp3"
"0.0.3","Sanjaya","Sanjaya","Krishna, qui a cherché à établir la paix entre eux, conduit maintenant le char d’Arjuna.","fr/0.0.3.mp3"
"0.0.4","Dhritarashtra","Dhritarashtra","Sanjaya, que s’est-il passé lorsque mes fils et les fils de Pandu se sont rassemblés à Kurukshetra, prêts à combattre ?","fr/0.0.4.mp3"
"1.1.1","Sanjaya","Sanjaya","Les chefs observaient leurs adversaires. Les conques se répondaient à travers le champ de bataille. Puis Arjuna prit la parole.","fr/1.1.1.mp3"
"1.1.2","Arjun","Arjuna","Conduis le char entre les armées, Krishna. Laisse-moi voir ceux qui sont venus nous combattre.","fr/1.1.2.mp3"
"1.1.3","Krishna","Krishna","Regarde, Arjuna. Voici les Kurus rassemblés.","fr/1.1.3.mp3"
"1.1.4","Sanjaya","Sanjaya","Bhishma se tenait là, un ancien de sa famille. À ses côtés se trouvait Drona, son maître. Autour d’eux, Arjuna reconnaissait des parents, des amis et des hommes qu’il connaissait depuis des années.","fr/1.1.4.mp3"
"1.2.1","Arjun","Arjuna","Ce sont les miens.","fr/1.2.1.mp3"
"1.2.2","Arjun","Arjuna","Mes forces m’abandonnent. Ma bouche est sèche. Je n’arrive plus à tenir mon arc d’une main ferme.","fr/1.2.2.mp3"
"1.2.3","Arjun","Arjuna","Je suis venu ici prêt à combattre. Maintenant que je vois ceux qui se tiennent devant moi, je ne vois aucun bien à les tuer.","fr/1.2.3.mp3"
"1.3.1","Arjun","Arjuna","Que ferais-je d’un royaume gagné de cette façon ? Ceux pour qui nous pourrions le désirer se tiennent là, au péril de leur vie.","fr/1.3.1.mp3"
"1.3.2","Arjun","Arjuna","Ils sont peut-être aveuglés par l’avidité. Devons-nous les suivre dans la même faute ?","fr/1.3.2.mp3"
